setting,task,image_type,model,file_name,path,total,correct,incorrect,wrong_format,bad_expected,accuracy
image_only,connected_nodes,spring,Qwen2.5-VL-3B-Instruct,spring_Qwen2.5-VL-3B-Instruct.jsonl,results\baseline\image_only\connected_nodes\spring_Qwen2.5-VL-3B-Instruct.jsonl,350,58,292,0,0,0.165714
image_only,connected_nodes,spring,Qwen2.5-VL-7B-Instruct,spring_Qwen2.5-VL-7B-Instruct.jsonl,results\baseline\image_only\connected_nodes\spring_Qwen2.5-VL-7B-Instruct.jsonl,350,85,265,0,0,0.242857
image_only,cycle_check,spring,llava-v1.6-mistral-7b-hf,spring_llava-v1.6-mistral-7b-hf.jsonl,results\baseline\image_only\cycle_check\spring_llava-v1.6-mistral-7b-hf.jsonl,350,233,117,0,0,0.665714
image_only,cycle_check,spring,Qwen2.5-VL-3B-Instruct,spring_Qwen2.5-VL-3B-Instruct.jsonl,results\baseline\image_only\cycle_check\spring_Qwen2.5-VL-3B-Instruct.jsonl,350,232,118,0,0,0.662857
image_only,cycle_check,spring,Qwen2.5-VL-7B-Instruct,spring_Qwen2.5-VL-7B-Instruct.jsonl,results\baseline\image_only\cycle_check\spring_Qwen2.5-VL-7B-Instruct.jsonl,350,285,65,0,0,0.814286
image_only,disconnected_nodes,spring,Qwen2.5-VL-3B-Instruct,spring_Qwen2.5-VL-3B-Instruct.jsonl,results\baseline\image_only\disconnected_nodes\spring_Qwen2.5-VL-3B-Instruct.jsonl,350,16,334,0,0,0.045714
image_only,disconnected_nodes,spring,Qwen2.5-VL-7B-Instruct,spring_Qwen2.5-VL-7B-Instruct.jsonl,results\baseline\image_only\disconnected_nodes\spring_Qwen2.5-VL-7B-Instruct.jsonl,350,26,324,0,0,0.074286
image_only,edge_count,spring,llava-v1.6-mistral-7b-hf,spring_llava-v1.6-mistral-7b-hf.jsonl,results\baseline\image_only\edge_count\spring_llava-v1.6-mistral-7b-hf.jsonl,350,31,319,0,0,0.088571
image_only,edge_count,spring,Qwen2.5-VL-3B-Instruct,spring_Qwen2.5-VL-3B-Instruct.jsonl,results\baseline\image_only\edge_count\spring_Qwen2.5-VL-3B-Instruct.jsonl,350,56,294,0,0,0.16
image_only,edge_count,spring,Qwen2.5-VL-7B-Instruct,spring_Qwen2.5-VL-7B-Instruct.jsonl,results\baseline\image_only\edge_count\spring_Qwen2.5-VL-7B-Instruct.jsonl,350,102,248,0,0,0.291429
image_only,edge_existence,spring,llava-v1.6-mistral-7b-hf,spring_llava-v1.6-mistral-7b-hf.jsonl,results\baseline\image_only\edge_existence\spring_llava-v1.6-mistral-7b-hf.jsonl,350,146,204,0,0,0.417143
image_only,edge_existence,spring,Qwen2.5-VL-3B-Instruct,spring_Qwen2.5-VL-3B-Instruct.jsonl,results\baseline\image_only\edge_existence\spring_Qwen2.5-VL-3B-Instruct.jsonl,350,257,93,0,0,0.734286
image_only,edge_existence,spring,Qwen2.5-VL-7B-Instruct,spring_Qwen2.5-VL-7B-Instruct.jsonl,results\baseline\image_only\edge_existence\spring_Qwen2.5-VL-7B-Instruct.jsonl,350,281,69,0,0,0.802857
image_only,node_count,spring,llava-v1.6-mistral-7b-hf,spring_llava-v1.6-mistral-7b-hf.jsonl,results\baseline\image_only\node_count\spring_llava-v1.6-mistral-7b-hf.jsonl,350,21,329,0,0,0.06
image_only,node_count,spring,Qwen2.5-VL-3B-Instruct,spring_Qwen2.5-VL-3B-Instruct.jsonl,results\baseline\image_only\node_count\spring_Qwen2.5-VL-3B-Instruct.jsonl,350,225,125,0,0,0.642857
image_only,node_count,spring,Qwen2.5-VL-7B-Instruct,spring_Qwen2.5-VL-7B-Instruct.jsonl,results\baseline\image_only\node_count\spring_Qwen2.5-VL-7B-Instruct.jsonl,350,345,5,0,0,0.985714
image_only,node_degree,spring,llava-v1.6-mistral-7b-hf,spring_llava-v1.6-mistral-7b-hf.jsonl,results\baseline\image_only\node_degree\spring_llava-v1.6-mistral-7b-hf.jsonl,350,54,296,0,0,0.154286
image_only,node_degree,spring,Qwen2.5-VL-3B-Instruct,spring_Qwen2.5-VL-3B-Instruct.jsonl,results\baseline\image_only\node_degree\spring_Qwen2.5-VL-3B-Instruct.jsonl,350,106,244,0,0,0.302857
image_only,node_degree,spring,Qwen2.5-VL-7B-Instruct,spring_Qwen2.5-VL-7B-Instruct.jsonl,results\baseline\image_only\node_degree\spring_Qwen2.5-VL-7B-Instruct.jsonl,350,122,228,0,0,0.348571
image_only,shortest_path,spring,llava-v1.6-mistral-7b-hf,spring_llava-v1.6-mistral-7b-hf.jsonl,results\baseline\image_only\shortest_path\spring_llava-v1.6-mistral-7b-hf.jsonl,350,56,294,0,0,0.16
