model,task,n_RT,recovered_RT,rate_RT_pct,n_RI,recovered_RI,rate_RI_pct,rate_overall_pct
Qwen2.5-VL-3B-Instruct,node_count,117,80,68.4,36,31,86.1,72.5
Qwen2.5-VL-3B-Instruct,edge_count,81,64,79.0,25,11,44.0,70.8
Qwen2.5-VL-3B-Instruct,edge_existence,66,33,50.0,50,41,82.0,63.8
Qwen2.5-VL-3B-Instruct,node_degree,51,30,58.8,76,29,38.2,46.5
Qwen2.5-VL-3B-Instruct,connected_nodes,77,35,45.5,27,15,55.6,48.1
Qwen2.5-VL-3B-Instruct,disconnected_nodes,32,7,21.9,15,3,20.0,21.3
Qwen2.5-VL-3B-Instruct,triangle_counting,10,1,10.0,17,8,47.1,33.3
Qwen2.5-VL-3B-Instruct,shortest_path,42,21,50.0,35,22,62.9,55.8
Qwen2.5-VL-7B-Instruct,node_count,5,5,100.0,1,1,100.0,100.0
Qwen2.5-VL-7B-Instruct,edge_count,113,104,92.0,26,9,34.6,81.3
Qwen2.5-VL-7B-Instruct,edge_existence,54,39,72.2,38,26,68.4,70.7
Qwen2.5-VL-7B-Instruct,node_degree,55,36,65.5,55,35,63.6,64.5
Qwen2.5-VL-7B-Instruct,connected_nodes,56,40,71.4,31,24,77.4,73.6
Qwen2.5-VL-7B-Instruct,disconnected_nodes,35,14,40.0,15,6,40.0,40.0
Qwen2.5-VL-7B-Instruct,triangle_counting,13,1,7.7,6,1,16.7,10.5
Qwen2.5-VL-7B-Instruct,shortest_path,65,43,66.2,80,37,46.2,55.2
Phi-4-multimodal-instruct,node_count,180,139,77.2,11,8,72.7,77.0
Phi-4-multimodal-instruct,edge_count,86,37,43.0,26,21,80.8,51.8
Phi-4-multimodal-instruct,edge_existence,88,55,62.5,31,26,83.9,68.1
Phi-4-multimodal-instruct,node_degree,67,39,58.2,77,56,72.7,66.0
Phi-4-multimodal-instruct,connected_nodes,40,6,15.0,45,26,57.8,37.6
Phi-4-multimodal-instruct,disconnected_nodes,8,2,25.0,38,22,57.9,52.2
Phi-4-multimodal-instruct,triangle_counting,9,4,44.4,84,83,98.8,93.5
Phi-4-multimodal-instruct,shortest_path,77,30,39.0,45,26,57.8,45.9
gpt-4.1-mini,node_count,3,3,100.0,0,0,,100.0
gpt-4.1-mini,edge_count,67,62,92.5,13,5,38.5,83.8
gpt-4.1-mini,edge_existence,108,97,89.8,103,96,93.2,91.5
gpt-4.1-mini,node_degree,51,38,74.5,12,6,50.0,69.8
gpt-4.1-mini,connected_nodes,72,65,90.3,2,1,50.0,89.2
gpt-4.1-mini,disconnected_nodes,95,47,49.5,65,48,73.8,59.4
gpt-4.1-mini,triangle_counting,35,19,54.3,23,11,47.8,51.7
gpt-4.1-mini,shortest_path,41,27,65.9,13,10,76.9,68.5
Qwen2.5-VL-3B-Instruct,ALL,476,271,56.9,281,160,56.9,56.9
Qwen2.5-VL-7B-Instruct,ALL,396,282,71.2,252,139,55.2,65.0
Phi-4-multimodal-instruct,ALL,555,312,56.2,357,268,75.1,63.6
gpt-4.1-mini,ALL,472,358,75.8,231,177,76.6,76.1
