model,task,n_compared,err_text_only_pct,err_image_only_pct,err_text_and_image_pct,largest_region,text_only_errors_n,text_only_errors_pct,image_only_errors_n,image_only_errors_pct,both_only_errors_n,both_only_errors_pct,text_and_image_only_errors_n,text_and_image_only_errors_pct,text_and_both_errors_n,text_and_both_errors_pct,image_and_both_errors_n,image_and_both_errors_pct,all_three_errors_n,all_three_errors_pct
Qwen2.5-VL-3B-Instruct,node_count,350,12.6,35.7,16.6,image_only_errors,31,8.9,80,22.9,11,3.1,3,0.9,5,1.4,37,10.6,5,1.4
Qwen2.5-VL-3B-Instruct,edge_count,350,68.0,84.0,68.0,all_three_errors,11,3.1,64,18.3,10,2.9,16,4.6,14,4.0,17,4.9,197,56.3
Qwen2.5-VL-3B-Instruct,edge_existence,350,22.0,26.6,21.1,text_only_errors,41,11.7,33,9.4,11,3.1,6,1.7,9,2.6,33,9.4,21,6.0
Qwen2.5-VL-3B-Instruct,node_degree,350,76.9,69.7,71.1,all_three_errors,29,8.3,30,8.6,5,1.4,17,4.9,47,13.4,21,6.0,176,50.3
Qwen2.5-VL-3B-Instruct,connected_nodes,350,69.1,83.4,66.0,all_three_errors,15,4.3,35,10.0,7,2.0,45,12.9,12,3.4,42,12.0,170,48.6
Qwen2.5-VL-3B-Instruct,disconnected_nodes,350,90.6,95.4,94.6,all_three_errors,3,0.9,7,2.0,0,0.0,8,2.3,12,3.4,25,7.1,294,84.0
Qwen2.5-VL-3B-Instruct,triangle_counting,350,94.9,92.9,95.1,all_three_errors,8,2.3,1,0.3,5,1.4,5,1.4,9,2.6,9,2.6,310,88.6
Qwen2.5-VL-3B-Instruct,shortest_path,350,80.3,82.3,74.3,all_three_errors,22,6.3,21,6.0,4,1.1,24,6.9,13,3.7,21,6.0,222,63.4
Qwen2.5-VL-7B-Instruct,node_count,350,0.3,1.4,0.0,image_only_errors,1,0.3,5,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen2.5-VL-7B-Instruct,edge_count,350,46.0,70.9,45.4,all_three_errors,9,2.6,104,29.7,12,3.4,14,4.0,17,4.9,9,2.6,121,34.6
Qwen2.5-VL-7B-Instruct,edge_existence,350,15.1,19.7,14.3,image_only_errors,26,7.4,39,11.1,13,3.7,5,1.4,12,3.4,15,4.3,10,2.9
Qwen2.5-VL-7B-Instruct,node_degree,350,65.1,65.1,43.4,all_three_errors,35,10.0,36,10.3,2,0.6,62,17.7,20,5.7,19,5.4,111,31.7
Qwen2.5-VL-7B-Instruct,connected_nodes,350,68.6,75.7,54.6,all_three_errors,24,6.9,40,11.4,4,1.1,45,12.9,7,2.0,16,4.6,164,46.9
Qwen2.5-VL-7B-Instruct,disconnected_nodes,350,86.9,92.6,91.1,all_three_errors,6,1.7,14,4.0,2,0.6,2,0.6,9,2.6,21,6.0,287,82.0
Qwen2.5-VL-7B-Instruct,triangle_counting,350,60.3,62.3,60.0,all_three_errors,1,0.3,1,0.3,3,0.9,15,4.3,5,1.4,12,3.4,190,54.3
Qwen2.5-VL-7B-Instruct,shortest_path,350,66.3,62.0,59.7,all_three_errors,37,10.6,43,12.3,2,0.6,10,2.9,43,12.3,22,6.3,142,40.6
Phi-4-multimodal-instruct,node_count,350,8.3,56.6,15.1,image_only_errors,8,2.3,139,39.7,5,1.4,14,4.0,3,0.9,41,11.7,4,1.1
Phi-4-multimodal-instruct,edge_count,350,60.6,77.7,64.3,all_three_errors,21,6.0,37,10.6,13,3.7,28,8.0,5,1.4,49,14.0,158,45.1
Phi-4-multimodal-instruct,edge_existence,350,24.3,40.6,21.7,image_only_errors,26,7.4,55,15.7,7,2.0,23,6.6,5,1.4,33,9.4,31,8.9
