task,group,n_evaluated,correct,incorrect,wrong_format,accuracy,n_modality,image,text,neither,image_pct,text_pct,neither_pct
connected_nodes,er,51,22,29,0,0.431373,51,11,22,18,21.57,43.14,35.29
connected_nodes,ba,27,14,13,0,0.518519,27,7,14,6,25.93,51.85,22.22
connected_nodes,sbm,39,13,26,0,0.333333,39,17,13,9,43.59,33.33,23.08
connected_nodes,sfn,46,5,41,0,0.108696,46,25,5,16,54.35,10.87,34.78
connected_nodes,complete,87,19,68,0,0.218391,87,32,19,36,36.78,21.84,41.38
connected_nodes,star,10,4,5,1,0.4,10,2,4,4,20.0,40.0,40.0
connected_nodes,path,92,30,62,0,0.326087,92,43,30,19,46.74,32.61,20.65
edge_existence,er,123,62,61,0,0.504065,123,61,62,0,49.59,50.41,0.0
edge_existence,ba,120,74,45,1,0.616667,120,45,74,1,37.5,61.67,0.83
edge_existence,sbm,120,49,67,4,0.408333,120,67,49,4,55.83,40.83,3.33
edge_existence,sfn,119,78,34,7,0.655462,119,34,78,7,28.57,65.55,5.88
edge_existence,complete,139,18,109,12,0.129496,139,109,18,12,78.42,12.95,8.63
edge_existence,star,105,69,32,4,0.657143,105,32,69,4,30.48,65.71,3.81
edge_existence,path,124,81,30,13,0.653226,124,30,81,13,24.19,65.32,10.48
node_count,er,122,1,120,1,0.008197,122,120,1,1,98.36,0.82,0.82
node_count,ba,133,2,123,8,0.015038,133,123,2,8,92.48,1.5,6.02
node_count,sbm,123,4,117,2,0.03252,123,117,4,2,95.12,3.25,1.63
node_count,sfn,132,0,130,2,0.0,132,130,0,2,98.48,0.0,1.52
node_count,complete,134,0,122,12,0.0,134,122,0,12,91.04,0.0,8.96
node_count,star,148,3,137,8,0.02027,148,137,3,8,92.57,2.03,5.41
node_count,path,147,0,142,5,0.0,147,142,0,5,96.6,0.0,3.4
node_degree,er,55,27,28,0,0.490909,55,27,27,1,49.09,49.09,1.82
node_degree,ba,63,30,32,1,0.47619,63,31,30,2,49.21,47.62,3.17
node_degree,sbm,60,28,31,1,0.466667,60,27,28,5,45.0,46.67,8.33
node_degree,sfn,55,24,31,0,0.436364,55,30,24,1,54.55,43.64,1.82
node_degree,complete,55,3,52,0,0.054545,55,46,3,6,83.64,5.45,10.91
node_degree,star,80,26,54,0,0.325,80,54,26,0,67.5,32.5,0.0
node_degree,path,109,23,86,0,0.211009,109,86,23,0,78.9,21.1,0.0
shortest_path,er,40,13,27,0,0.325,40,22,13,5,55.0,32.5,12.5
shortest_path,ba,59,14,45,0,0.237288,59,37,14,8,62.71,23.73,13.56
shortest_path,sbm,37,9,28,0,0.243243,37,23,9,5,62.16,24.32,13.51
shortest_path,sfn,62,13,49,0,0.209677,62,38,13,11,61.29,20.97,17.74
shortest_path,complete,42,14,28,0,0.333333,42,27,14,1,64.29,33.33,2.38
shortest_path,star,65,24,41,0,0.369231,65,35,24,6,53.85,36.92,9.23
shortest_path,path,76,13,63,0,0.171053,76,47,13,16,61.84,17.11,21.05
disconnected_nodes,er,11,3,8,0,0.272727,11,5,3,3,45.45,27.27,27.27
disconnected_nodes,ba,11,2,9,0,0.181818,11,9,2,0,81.82,18.18,0.0
disconnected_nodes,sbm,8,0,8,0,0.0,8,7,0,1,87.5,0.0,12.5
disconnected_nodes,sfn,9,2,7,0,0.222222,9,6,2,1,66.67,22.22,11.11
disconnected_nodes,star,41,9,32,0,0.219512,41,25,9,7,60.98,21.95,17.07
disconnected_nodes,path,4,0,4,0,0.0,4,4,0,0,100.0,0.0,0.0
edge_count,er,35,23,12,0,0.657143,35,3,23,9,8.57,65.71,25.71
edge_count,ba,45,30,15,0,0.666667,45,7,30,8,15.56,66.67,17.78
edge_count,sbm,35,23,12,0,0.657143,35,7,23,5,20.0,65.71,14.29
edge_count,sfn,54,42,12,0,0.777778,54,6,42,6,11.11,77.78,11.11
edge_count,complete,45,0,45,0,0.0,45,45,0,0,100.0,0.0,0.0
edge_count,star,77,44,33,0,0.571429,77,33,44,0,42.86,57.14,0.0
edge_count,path,137,97,40,0,0.708029,137,40,97,0,29.2,70.8,0.0
triangle_counting,er,18,7,11,0,0.388889,18,8,7,3,44.44,38.89,16.67
triangle_counting,ba,19,2,17,0,0.105263,19,16,2,1,84.21,10.53,5.26
triangle_counting,sbm,21,2,19,0,0.095238,21,15,2,4,71.43,9.52,19.05
triangle_counting,sfn,27,0,27,0,0.0,27,25,0,2,92.59,0.0,7.41
triangle_counting,complete,2,0,2,0,0.0,2,1,0,1,50.0,0.0,50.0
triangle_counting,star,99,0,98,1,0.0,99,93,0,6,93.94,0.0,6.06
triangle_counting,path,98,0,98,0,0.0,98,91,0,7,92.86,0.0,7.14
ALL,er,455,158,296,1,0.347253,455,257,158,40,56.48,34.73,8.79
ALL,ba,477,168,299,10,0.352201,477,275,168,34,57.65,35.22,7.13
ALL,sbm,443,128,308,7,0.288939,443,280,128,35,63.21,28.89,7.9
ALL,sfn,504,164,331,9,0.325397,504,294,164,46,58.33,32.54,9.13
ALL,complete,504,54,426,24,0.107143,504,382,54,68,75.79,10.71,13.49
ALL,star,625,179,432,14,0.2864,625,411,179,35,65.76,28.64,5.6
ALL,path,787,244,525,18,0.310038,787,483,244,60,61.37,31.0,7.62
