task,group,n_evaluated,correct,incorrect,wrong_format,accuracy,n_modality,image,text,neither,image_pct,text_pct,neither_pct
connected_nodes,0-4,3,0,3,0,0.0,3,3,0,0,100.0,0.0,0.0
connected_nodes,5-8,24,4,20,0,0.166667,24,11,4,9,45.83,16.67,37.5
connected_nodes,9-12,21,2,19,0,0.095238,21,12,2,7,57.14,9.52,33.33
connected_nodes,13-16,15,5,10,0,0.333333,15,5,5,5,33.33,33.33,33.33
connected_nodes,17-20,8,4,4,0,0.5,8,2,4,2,25.0,50.0,25.0
connected_nodes,21-24,8,1,7,0,0.125,8,5,1,2,62.5,12.5,25.0
connected_nodes,25-28,6,1,5,0,0.166667,6,3,1,2,50.0,16.67,33.33
connected_nodes,29-32,1,0,1,0,0.0,1,0,0,1,0.0,0.0,100.0
connected_nodes,33-36,2,0,2,0,0.0,2,1,0,1,50.0,0.0,50.0
connected_nodes,37-40,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
connected_nodes,41-44,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
connected_nodes,45-48,5,2,3,0,0.4,5,2,2,1,40.0,40.0,20.0
connected_nodes,53-56,1,0,1,0,0.0,1,0,0,1,0.0,0.0,100.0
connected_nodes,65-68,5,0,5,0,0.0,5,1,0,4,20.0,0.0,80.0
connected_nodes,69-72,1,0,1,0,0.0,1,0,0,1,0.0,0.0,100.0
connected_nodes,77-80,3,1,2,0,0.333333,3,2,1,0,66.67,33.33,0.0
connected_nodes,89-92,4,0,4,0,0.0,4,2,0,2,50.0,0.0,50.0
connected_nodes,101-104,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
connected_nodes,105-108,2,0,2,0,0.0,2,1,0,1,50.0,0.0,50.0
connected_nodes,117-120,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
connected_nodes,125-128,1,0,1,0,0.0,1,0,0,1,0.0,0.0,100.0
connected_nodes,133-136,1,0,1,0,0.0,1,1,0,0,100.0,0.0,0.0
connected_nodes,153-156,2,0,2,0,0.0,2,2,0,0,100.0,0.0,0.0
edge_existence,0-4,7,2,5,0,0.285714,7,5,2,0,71.43,28.57,0.0
edge_existence,5-8,56,39,17,0,0.696429,56,17,39,0,30.36,69.64,0.0
edge_existence,9-12,53,38,15,0,0.716981,53,15,38,0,28.3,71.7,0.0
edge_existence,13-16,35,24,11,0,0.685714,35,11,24,0,31.43,68.57,0.0
edge_existence,17-20,21,11,10,0,0.52381,21,10,11,0,47.62,52.38,0.0
edge_existence,21-24,18,8,10,0,0.444444,18,10,8,0,55.56,44.44,0.0
edge_existence,25-28,11,3,8,0,0.272727,11,8,3,0,72.73,27.27,0.0
edge_existence,29-32,10,3,7,0,0.3,10,7,3,0,70.0,30.0,0.0
edge_existence,33-36,9,2,7,0,0.222222,9,7,2,0,77.78,22.22,0.0
